Name,RCG,,
Temperature Limit,1640,,
Density,1670,,
Temperature,Specific Heat,Thermal Conductivity,Emissivity
255.556,795,0.843,
300,,,0.873
350,,,0.875
394.444,900,0.952,
400,,,0.879
450,,,0.884
500,,,0.889
533.333,1000,1.05,
550,,,0.894
600,,,0.898
650,,,0.902
672.222,1090,1.13,
700,,,0.905
750,,,0.908
800,,,0.91
850,,,0.912
900,,,0.914
950,1260,1.3,0.916
1000,,,0.918
1050,,,0.92
1088.89,1320,1.38,
1100,,,0.921
1150,,,0.923
1200,,,0.924
1227.78,1380,1.45,
1250,,,0.926
1300,,,0.927
1350,,,0.928
1366.67,1440,1.53,
1400,,,0.93
1450,,,0.931
1500,,,0.932
1505.56,1500,1.6,
1550,,,0.933
1600,,,0.934
1644.44,1540,1.69,
1650,,,0.935
1700,,,0.935
1750,,,0.936
1783.33,1600,1.84,
1800,,,0.937
1850,,,0.938
1900,,,0.938
1950,,,0.939
2000,,,0.939
