Name,RTV-560,,
Temperature Limit,561,,
Density,1410,,
Temperature,Specific Heat,Thermal Conductivity,Emissivity
138.889,1160,0.398,
177.778,1140,0.425,
188.889,1130,0.431,
211.111,1110,0.433,
233.333,1090,0.431,
255.556,1100,0.423,
266.667,1110,0.418,
277.778,1120,0.415,
288.889,1150,0.407,
300,1170,0.397,
311.111,1180,0.389,
322.222,1190,0.376,
333.333,1210,0.368,
344.444,1230,0.361,
355.556,1250,0.353,
366.667,1260,0.346,
377.778,1280,0.343,
388.889,1300,0.335,
400,1310,0.323,
411.111,1330,0.317,
422.222,1340,0.314,
433.333,1350,0.307,
444.444,1370,0.297,
455.556,1390,0.291,
477.778,1420,0.278,
555.555,1520,0.242,
694.445,1730,0.182,
833.333,1990,0.138,
