Name,TUFI-AETB-12_Layer,Diffusion Layer,
Temperature Limit,1590,,
Density,96.1,,
Temperature,Specific Heat,Thermal Conductivity,Emissivity
255.556,795,0.064,
300,,,0.873
350,,,0.873
394.444,900,0.0675,
400,,,0.875
450,,,0.878
500,,,0.881
533.333,1000,0.0744,
550,,,0.885
600,,,0.888
650,,,0.892
672.222,1090,0.0831,
700,,,0.895
750,,,0.898
800,,,0.901
811.111,1190,0.0935,
850,,,0.905
900,,,0.907
950,1260,0.106,0.91
1000,,,0.913
1050,,,0.916
1088.89,1320,0.118,
1100,,,0.918
1150,,,0.921
1200,,,0.923
1227.78,1380,0.132,
1250,,,0.925
1300,,,0.927
1350,,,0.929
1366.67,1440,0.145,
1400,,,0.931
1450,,,0.932
1500,,,0.934
1505.56,1500,0.159,
1533.15,,,
1550,,,0.936
1600,,,0.937
1644.44,1540,0.171,
1650,,,0.938
1700,,,0.94
1750,,,0.941
1783.33,1600,0.171,
1800,,,0.942
1850,,,0.943
1900,,,0.944
1950,,,0.945
2000,,,0.945
